150,131,108,NaN,171,251,240,NaN,NaN,201,218,204,3866,NaN,NaN,6492,5526,NaN,4216,2442,3156,3436,3390,1732,153,NaN,120,152,169,NaN
510,NaN,400,579,551,781,662,430,NaN,527,NaN,617,206,NaN,156,112,NaN,NaN,189,NaN,301,170,NaN,106,532,356,382,NaN,517,435
119,122,86,80,88,97,NaN,NaN,53,106,NaN,NaN,NaN,82,106,60,70,NaN,79,105,105,NaN,68,NaN,NaN,59,54,48,86,NaN
193,266,228,118,296,NaN,307,241,218,326,NaN,223,1071,715,1381,1255,1763,NaN,815,1850,1068,1902,1578,1519,NaN,59,NaN,123,140,NaN
2.446e+05,1.9723e+05,2.479e+05,1.5697e+05,2.2394e+05,2.3401e+05,1.7671e+05,1.7381e+05,1.9158e+05,NaN,2.0379e+05,1.8806e+05,13865,NaN,15547,NaN,13467,NaN,NaN,14295,14869,18066,14228,13278,2.7867e+05,3.2637e+05,2.9834e+05,NaN,NaN,2.2508e+05
17776,NaN,NaN,NaN,20168,20326,23139,NaN,27832,25831,24931,25368,NaN,NaN,18136,13666,16240,NaN,NaN,16583,17671,17814,18699,NaN,NaN,14024,16701,19445,21420,19568
77,82,66,68,100,110,NaN,74,79,78,58,74,791,493,577,633,NaN,NaN,NaN,677,503,567,537,NaN,NaN,NaN,51,84,114,NaN
NaN,647,608,816,782,724,418,485,NaN,446,585,511,453,NaN,505,NaN,NaN,NaN,718,448,578,NaN,469,689,585,NaN,620,NaN,483,515
4311,NaN,4849,NaN,5081,4246,4680,4636,NaN,4385,NaN,NaN,NaN,5056,8579,NaN,NaN,NaN,8183,9027,7471,7784,6565,NaN,4446,4820,NaN,6174,5014,5091
2064,1940,2441,1674,2460,1922,2562,NaN,NaN,2257,2317,1926,NaN,NaN,832,NaN,NaN,NaN,791,988,766,1251,1021,898,939,757,775,1179,NaN,NaN
NaN,4525,3060,3123,4258,3670,3735,3738,4133,4804,4175,3819,16579,8184,10701,NaN,12121,NaN,10877,12163,14482,12051,NaN,11467,NaN,NaN,NaN,3659,NaN,3429
606,1003,NaN,NaN,885,744,442,NaN,603,866,604,NaN,5481,NaN,3481,4006,NaN,NaN,NaN,3986,4700,4000,4209,3619,NaN,NaN,540,NaN,907,718
364,666,437,522,532,NaN,494,395,478,NaN,385,417,175,751,NaN,NaN,NaN,NaN,1436,185,189,214,240,1063,460,491,NaN,533,618,545
3102,NaN,3692,NaN,2806,2091,2852,NaN,NaN,NaN,2532,2427,1535,NaN,1617,2523,NaN,NaN,NaN,1606,NaN,2579,NaN,1067,1659,1811,1459,2090,NaN,1732
43,79,119,55,39,84,40,86,60,NaN,66,85,63,37,46,68,87,NaN,48,47,86,73,NaN,40,88,55,42,NaN,69,135
8125,11877,8898,6601,NaN,9024,10300,8508,NaN,8135,9021,9447,27669,18222,NaN,18640,NaN,NaN,19030,19754,25058,19115,25731,17853,NaN,NaN,6821,NaN,6229,5199
46551,80976,46478,59133,34747,NaN,42274,56054,NaN,NaN,26482,62747,36751,25158,44382,NaN,77806,NaN,NaN,41650,47472,NaN,51793,70576,NaN,61233,NaN,41491,NaN,66488
426,329,753,8537,493,2802,438,398,292,NaN,3750,868,512,6781,NaN,NaN,352,NaN,NaN,213,NaN,213,385,3329,7026,315,768,NaN,NaN,206
379,605,NaN,459,433,369,322,NaN,NaN,332,NaN,343,315,221,296,NaN,298,NaN,259,342,297,307,469,225,418,NaN,NaN,361,464,1827
NaN,3270,2665,NaN,4038,3632,5194,NaN,NaN,5305,4090,NaN,3594,1677,2288,6071,4578,NaN,NaN,1791,1405,NaN,2453,1875,1728,NaN,NaN,4175,2152,1843
NaN,787,NaN,578,1299,NaN,1137,NaN,697,1160,990,510,205,164,204,NaN,NaN,NaN,NaN,144,208,NaN,126,NaN,269,300,291,245,427,196
NaN,NaN,NaN,NaN,14175,18821,17809,13493,18383,NaN,23605,NaN,1337,2225,1029,NaN,NaN,NaN,1803,630,2981,1095,NaN,1787,NaN,9645,7958,NaN,NaN,11958
2803,1881,3472,6652,NaN,1843,NaN,6151,3454,NaN,NaN,4168,9067,NaN,7815,9838,12046,NaN,NaN,2120,1997,8205,4967,1477,1618,NaN,NaN,NaN,2200,1271
62199,NaN,NaN,75162,68271,NaN,69288,NaN,58057,69912,66970,60090,1.9765e+05,1.1144e+05,1.5974e+05,97837,1.8778e+05,NaN,NaN,1.8232e+05,NaN,1.1282e+05,NaN,1.4789e+05,60476,NaN,62255,68158,NaN,70830
