NaN,4925,5338,4935,4501,4688,4020,NaN,NaN,5304,NaN,5817,4680,4353,4729,NaN,NaN,3935,NaN,4189,6987,NaN,4763,4866,7033,7246,NaN,6165,5819,7660,6441,6994,4959,5468,NaN,4233,5664,5199,3818,5641,3967,4635,3903,4049,5535,10619,5933,4121,7139,NaN,5343,NaN,NaN,5881,NaN,NaN
NaN,3.4008e+05,3.5766e+05,4.1422e+05,NaN,NaN,3.04e+05,3.2856e+05,5.1746e+05,2.8158e+05,3.3321e+05,3.0612e+05,NaN,3.3927e+05,3.1863e+05,4.3086e+05,4.2265e+05,5.2156e+05,NaN,NaN,NaN,NaN,3.4202e+05,NaN,3.505e+05,2.4278e+05,2.9381e+05,4.0942e+05,2.7286e+05,4.8791e+05,2.9992e+05,3.286e+05,5.5596e+05,3.8024e+05,NaN,6.8349e+05,3.3184e+05,NaN,4.2468e+05,3.2417e+05,5.4325e+05,4.0043e+05,5.5544e+05,3.8806e+05,5.5082e+05,NaN,4.5631e+05,4.0724e+05,4.7469e+05,NaN,NaN,NaN,NaN,3.6961e+05,3.7534e+05,2.5595e+05
1153,832,NaN,797,1111,880,1798,NaN,2136,1027,1754,845,870,865,1086,938,NaN,946,774,NaN,855,1205,690,NaN,1425,796,NaN,1172,1018,NaN,NaN,1214,1312,793,NaN,NaN,1045,896,1623,971,1493,1339,NaN,809,1000,970,1215,1135,983,813,1074,830,1289,834,NaN,NaN
1.0999e+05,1.1728e+05,1.205e+05,74974,1.6025e+05,1.3424e+05,NaN,1.2444e+05,1.3073e+05,NaN,1.5314e+05,63715,1.3017e+05,1.6784e+05,1.4501e+05,NaN,NaN,1.6623e+05,NaN,2.6688e+05,NaN,64819,1.683e+05,1.0607e+05,1.9039e+05,1.7916e+05,65836,NaN,1.3986e+05,98607,1.1944e+05,NaN,1.4436e+05,1.5391e+05,NaN,1.8053e+05,1.7449e+05,1.6134e+05,1.5218e+05,1.4183e+05,1.6643e+05,NaN,1.7654e+05,NaN,1.9293e+05,1.1823e+05,2.795e+05,1.7969e+05,1.5418e+05,1.7163e+05,1.9884e+05,NaN,2.0929e+05,2.3447e+05,1.5622e+05,NaN
6.637e+05,5.6985e+05,6.5978e+05,NaN,6.9539e+05,7.3576e+05,8.3019e+05,NaN,6.8635e+05,6.7618e+05,1.2658e+06,6.698e+05,6.2965e+05,NaN,NaN,9.719e+05,1.2832e+06,NaN,NaN,NaN,8.0233e+05,NaN,NaN,NaN,9.1695e+05,7.2859e+05,NaN,NaN,7.0226e+05,5.7135e+05,6.9591e+05,6.9981e+05,4.1043e+05,6.1952e+05,1.1289e+06,8.1588e+05,NaN,NaN,NaN,6.7575e+05,6.0743e+05,2.5789e+06,NaN,5.9706e+05,7.4353e+05,6.6362e+05,NaN,1.0338e+06,7.8983e+05,NaN,6.3046e+05,4.9019e+05,NaN,NaN,3.2477e+05,4.4469e+05
1.3836e+05,1.8141e+05,2.1762e+05,1.5401e+05,2.0165e+05,1.6612e+05,1.4715e+05,NaN,1.9411e+05,2.101e+05,1.5423e+05,1.2543e+05,NaN,2.2851e+05,2.2313e+05,NaN,2.026e+05,2.6912e+05,NaN,NaN,NaN,1.9946e+05,1.8647e+05,1.5522e+05,NaN,NaN,1.9331e+05,NaN,1.4262e+05,1.9734e+05,NaN,1.7205e+05,1.4366e+05,2.2608e+05,NaN,2.3315e+05,NaN,1.27e+05,1.9681e+05,1.8776e+05,1.9582e+05,1.5857e+05,NaN,1.4701e+05,NaN,1.6877e+05,1.9282e+05,1.7511e+05,NaN,1.711e+05,2.3705e+05,NaN,1.3519e+05,2.3606e+05,NaN,NaN
1.5113e+05,1.2848e+05,2.0339e+05,1.8677e+05,1.6055e+05,1.6166e+05,NaN,1.1934e+05,2.1613e+05,NaN,NaN,1.4313e+05,1.5748e+05,1.8152e+05,NaN,1.7755e+05,2.0459e+05,1.7217e+05,NaN,1.8524e+05,NaN,NaN,1.4155e+05,1.6466e+05,NaN,1.7179e+05,1.4698e+05,1.8063e+05,1.289e+05,1.6838e+05,1.0966e+05,NaN,1.8585e+05,NaN,1.2194e+05,2.1241e+05,1.456e+05,NaN,1.9785e+05,NaN,NaN,1.5831e+05,1.2338e+05,1.4895e+05,1.3155e+05,1.2599e+05,1.9687e+05,NaN,1.1279e+05,NaN,2.5465e+05,1.2032e+05,1.1871e+05,NaN,NaN,NaN
NaN,NaN,5827,11181,12544,14904,9924,7733,10196,NaN,7080,NaN,NaN,15051,7281,14511,10729,NaN,4808,10264,5453,NaN,7184,NaN,NaN,12265,6519,9398,6973,9833,NaN,NaN,10358,9007,5947,NaN,9620,14072,10695,7656,14630,NaN,12338,8912,22669,NaN,30309,NaN,12342,6603,10215,NaN,NaN,9867,6127,6223
664,NaN,1073,780,1285,1236,1362,NaN,847,733,862,1111,975,1414,945,1510,NaN,892,1051,1469,1380,914,875,1029,829,1338,NaN,NaN,NaN,1335,NaN,1095,1569,634,4993,975,1144,1417,1056,971,1332,931,1003,605,1066,833,1985,925,1215,NaN,665,NaN,880,NaN,1291,NaN
NaN,NaN,12992,26836,NaN,NaN,26013,16011,18940,16322,17747,11414,15575,25450,15225,36574,17293,67541,NaN,14590,NaN,19163,NaN,20303,30177,13286,18825,21343,17415,NaN,NaN,NaN,19598,24011,13984,34030,23300,NaN,NaN,16543,NaN,21287,22930,NaN,25633,NaN,NaN,34888,NaN,15022,30330,NaN,11479,22557,13741,17478
