"","x"
"1",1.46534466951356
"2",1.3572118951288
"3",1.34851569254742
"4",1.16070531153545
"5",1.15141768445599
"6",1.43309074334599
"7",1.4698753135783
"8",1.41699784507405
"9",1.03278034717041
"10",1.22373696287081
"11",1.42223674295796
"12",1.44638435074167
"13",1.16985742990789
"14",1.25645042004917
"15",1.11426987430341
"16",1.5338466974101
"17",1.28140216713062
"18",1.32518656792089
"19",1.18082099459928
"20",0.970007201824966
"21",1.03424473590502
"22",1.13032755348668
"23",1.24874279705122
"24",1.15138488905412
"25",1.37368059791498
"26",1.14546859056523
"27",1.3504844082871
"28",1.40696154897439
"29",1.06992077007049
"30",1.51976196084485
"31",1.08955078938929
"32",1.24685207777775
"33",1.15242984542094
"34",1.20273563751913
"35",1.29021473698833
"36",1.06637810413961
"37",1.20033078859823
"38",1.42832217133216
"39",1.16179977354935
"40",1.53588333001955
"41",1.18888211552795
"42",1.29161795612568
"43",1.21849432535847
"44",1.2555145074066
"45",1.10923685769508
"46",1.48976185389285
"47",1.2346967594134
"48",1.37141755481678
"49",1.47764396890261
"50",1.5154305614685
"51",1.25183675411836
"52",1.09571154172136
"53",1.26681177304629
"54",1.43814580668385
"55",1.35049713945473
"56",1.17273495087231
"57",1.16979357227013
"58",1.14315976111055
"59",1.19293226236911
"60",1.48691349164872
"61",1.26829746545362
"62",1.18322152659364
"63",1.25666271898292
"64",1.14968629575482
"65",1.28663999852841
"66",1.23749676648205
"67",1.18484719208672
"68",1.25886930741516
"69",1.21398103623645
"70",1.23681515123995
"71",1.14893009939038
"72",1.13259150285985
"73",1.39404218721741
"74",1.14707118058701
"75",1.23479639123663
"76",1.41087635819053
"77",1.22358536354308
"78",1.39888251424951
"79",1.3245986412421
"80",1.2410788639154
"81",1.15372124213466
"82",1.08906376068943
"83",1.06086594035999
"84",1.09340832123185
"85",1.15774351296925
"86",1.40192906724143
"87",1.36190213819385
"88",1.21228489255472
"89",1.06784962452293
"90",1.24530695196928
"91",1.29704227111058
"92",1.42000180103399
"93",1.24863887536779
"94",1.05122651985986
"95",1.13972172956472
"96",1.189378393923
"97",1.58919951885839
"98",1.00704292008243
"99",1.33883684371971
"100",1.16217195811638
